Date,ZRX,ETC,TRX,KAVA,TRU,FUN,HIVE,SUN,HARD,COS
2022-03-11 17:00:00,4731.07109085387,8966.700822714953,981.7535576190487,4517.573839388771,4096.232896772405,2913.4891650002046,1551.4782602308617,1368.9185248092745,2758.966050332382,4199.166068034989
2022-03-11 18:00:00,4731.07109085387,8966.700822714953,981.7535576190487,4517.573839388771,4091.4419811036646,2913.4891650002046,1549.6636657744511,1368.9185248092745,2755.7391894548,4204.083124320746
2022-03-11 19:00:00,4731.07109085387,8966.700822714953,981.7535576190487,4517.573839388771,4038.7419087475287,2913.4891650002046,1549.6636657744511,1386.7810441128356,2755.7391894548,4258.940673985666
2022-03-11 20:00:00,4731.07109085387,8966.700822714953,964.5900338844499,4517.573839388771,3968.1345327204735,2913.4891650002046,1549.6636657744511,1362.5366202647092,2755.7391894548,4184.483669195706
2022-03-11 21:00:00,4731.07109085387,8966.700822714953,962.3468012475096,4517.573839388771,3958.9063128769385,2913.4891650002046,1549.6636657744511,1359.3679304501402,2755.7391894548,4174.752311825484
2022-03-11 22:00:00,4731.07109085387,8966.700822714953,972.5243819892574,4517.573839388771,4000.774887278692,2913.4891650002046,1549.6636657744511,1373.7443245442075,2755.7391894548,4218.903628871817
2022-03-11 23:00:00,4731.07109085387,8966.700822714953,957.8914919824746,4517.573839388771,3940.578042909915,2913.4891650002046,1549.6636657744511,1353.0745604017598,2755.7391894548,4155.424754826291
2022-03-12 00:00:00,4731.07109085387,8966.700822714953,944.7696907224408,4517.573839388771,3886.5975217741634,2913.4891650002046,1549.6636657744511,1334.5392924510509,2755.7391894548,4098.501128047849
2022-03-12 01:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2903.511462380342,1549.6636657744511,1339.1253381295764,2755.7391894548,4112.585324364164
2022-03-12 02:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2910.1632641269175,1549.6636657744511,1336.0644802138518,2755.7391894548,4103.185129337046
2022-03-12 03:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2933.4445702399325,1549.6636657744511,1325.460793862948,2755.7391894548,4070.620167993101
2022-03-12 04:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2930.118669366644,1549.6636657744511,1326.9652896562095,2752.6147686050776,4075.2406222132986
2022-03-12 05:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2923.466867620068,1549.6636657744511,1329.9845508385902,2746.365926905633,4084.513069590349
2022-03-12 06:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2930.118669366644,1549.6636657744511,1326.9652896562095,2752.6147686050776,4084.513069590349
2022-03-12 07:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2920.1409667467806,1549.6636657744511,1331.4993396208663,2743.241506055911,4084.513069590349
2022-03-12 08:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2920.1409667467806,1549.6636657744511,1331.4993396208663,2743.241506055911,4084.513069590349
2022-03-12 09:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2916.8150658734926,1549.6636657744511,1333.0175828815513,2740.1170852061896,4084.513069590349
2022-03-12 10:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2893.533759760477,1549.6636657744511,1343.743011709334,2718.2461392581354,4084.513069590349
2022-03-12 11:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2893.533759760477,1549.6636657744511,1343.743011709334,2718.2461392581354,4084.513069590349
2022-03-12 12:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2893.533759760477,1549.6636657744511,1351.5103123550525,2702.624035009526,4084.513069590349
2022-03-12 13:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2893.533759760477,1549.6636657744511,1351.5103123550525,2677.62866821175,4084.513069590349
2022-03-12 14:00:00,4731.07109085387,8966.700822714953,948.0163219620365,4517.573839388771,3886.5975217741634,2893.533759760477,1549.6636657744511,1351.5103123550525,2677.62866821175,4084.513069590349
