Date,PSG,CELR,TRU,ASR,COTI,OG,EOS,DCR,BTC,MDT
2022-11-27 14:00:00,246.70499021713385,316.56252925891954,214.0566037632969,118.40864355098655,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,76.97001031597662
2022-11-27 15:00:00,246.70499021713385,317.7432921431378,213.26115001464103,117.96862629513005,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,77.25710472222794
2022-11-27 16:00:00,246.70499021713385,317.6248196255602,213.3406953895066,118.01262802071571,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,77.228298941198
2022-11-27 17:00:00,246.70499021713385,316.68021049656227,213.9770583884313,118.36464182540091,146.28802716211126,97.40708672368653,111.34732945666862,59.0542506125915,87.38908055787982,76.9986237027112
2022-11-27 18:00:00,246.70499021713385,317.7432921431378,213.26115001464103,117.96862629513005,146.28802716211126,97.40708672368653,111.72111758240901,59.0542506125915,87.38908055787982,77.25710472222794
2022-11-27 19:00:00,246.70499021713385,318.8135352678714,212.54524164085072,117.57261076485919,146.28802716211126,97.40708672368653,112.0974237419306,59.0542506125915,87.38908055787982,77.51732700609772
2022-11-27 20:00:00,246.70499021713385,317.6248196255602,213.3406953895066,118.01262802071571,146.28802716211126,97.40708672368653,111.67946168472727,59.0542506125915,87.38908055787982,77.228298941198
2022-11-27 21:00:00,246.70499021713385,316.9158356531817,213.8179676387001,118.2766383742296,146.28802716211126,97.40708672368653,111.43017717203816,59.0542506125915,87.38908055787982,77.228298941198
2022-11-27 22:00:00,246.70499021713385,324.3982354286947,208.8861543970337,115.54853138791927,146.28802716211126,97.40708672368653,114.06104959574962,59.0542506125915,87.38908055787982,77.228298941198
2022-11-27 23:00:00,244.747753800602,321.82461890281536,210.55660726921104,115.54853138791927,146.28802716211126,96.63430666278838,113.15614515996921,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 00:00:00,254.8573187687622,335.11792534844705,202.20434290832432,115.54853138791927,146.28802716211126,100.6258889600318,113.15614515996921,59.0542506125915,87.38908055787982,77.228298941198
2022-11-28 01:00:00,257.0822636151562,338.04355803006047,202.20434290832432,116.55728840797252,146.28802716211126,101.5043689430162,112.17682368336838,59.0542506125915,87.38908055787982,77.228298941198
