time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2023-04-22T02:00:00,2023-04-22T08:00:00,0.01006044702584148,short,1000LUNC,IOTA,both
2023-04-23T00:00:00,2023-04-23T18:00:00,-0.02473000112580455,long,1000LUNC,IOTA,both
2023-04-26T15:00:00,2023-04-27T12:00:00,0.048500351096833955,short,1000LUNC,IOTA,both
2023-04-28T18:00:00,2023-04-29T09:00:00,0.003984069014874292,long,1000LUNC,IOTA,both
2023-05-02T00:00:00,2023-05-02T13:00:00,0.0072614426953255045,short,1000LUNC,IOTA,both
2023-05-03T13:00:00,2023-05-04T13:00:00,-0.01955800889965675,short,1000LUNC,IOTA,both
2023-05-05T08:00:00,2023-05-07T14:00:00,0.0117980337456348,short,1000LUNC,IOTA,both
2023-05-08T23:00:00,2023-05-09T15:00:00,0.002225933028153911,short,1000LUNC,IOTA,both
2023-05-09T19:00:00,2023-05-10T12:00:00,0.018237587549781012,long,1000LUNC,IOTA,both
2023-05-10T16:00:00,2023-05-11T01:00:00,-0.010558586560494517,long,1000LUNC,IOTA,both
2023-05-11T14:00:00,2023-05-12T11:00:00,0.011915034577871244,short,1000LUNC,IOTA,both
2023-05-12T12:00:00,2023-05-13T03:00:00,0.00905495717195788,long,1000LUNC,IOTA,both
2023-05-14T18:00:00,2023-05-15T07:00:00,0.014088708663303126,long,1000LUNC,IOTA,both
2023-05-15T08:00:00,2023-05-16T13:00:00,0.005580371624131114,short,1000LUNC,IOTA,both
2023-05-17T07:00:00,2023-05-17T12:00:00,0.0016615899696595683,long,1000LUNC,IOTA,both
2023-05-18T03:00:00,2023-05-18T18:00:00,0.018569621526547415,short,1000LUNC,IOTA,both
2023-05-20T14:00:00,2023-05-21T18:00:00,-0.023080112588497015,long,1000LUNC,IOTA,both
2023-05-22T00:00:00,2023-05-23T11:00:00,-0.0521182243864003,short,1000LUNC,IOTA,both
2023-05-23T16:00:00,2023-05-25T02:00:00,0.018553407895747834,short,1000LUNC,IOTA,both
2023-05-25T06:00:00,2023-05-25T08:00:00,0.006946327690292351,long,1000LUNC,IOTA,both
2023-05-25T09:00:00,2023-05-26T08:00:00,-0.02551557323757967,short,1000LUNC,IOTA,both
2023-05-26T20:00:00,2023-05-27T09:00:00,-0.0030721990369701403,long,1000LUNC,IOTA,both
2023-05-28T00:00:00,2023-05-29T01:00:00,-0.007505664457684536,short,1000LUNC,IOTA,both
2023-05-29T06:00:00,2023-05-30T14:00:00,-0.03031264080882268,short,1000LUNC,IOTA,both
2023-05-30T15:00:00,2023-05-31T10:00:00,-0.02804826032746479,long,1000LUNC,IOTA,both
2023-05-31T10:00:00,2023-05-31T10:00:00,0.0,long,1000LUNC,IOTA,both
2023-05-31T18:00:00,2023-06-01T10:00:00,0.003492146227886367,short,1000LUNC,IOTA,both
2023-06-01T11:00:00,2023-06-02T17:00:00,-0.002006018726865743,long,1000LUNC,IOTA,both
2023-06-03T06:00:00,2023-06-03T09:00:00,0.007464578079045791,short,1000LUNC,IOTA,both
2023-06-03T15:00:00,2023-06-04T00:00:00,-0.010316966970932267,short,1000LUNC,IOTA,both
2023-06-04T00:00:00,2023-06-04T00:00:00,0.0,short,1000LUNC,IOTA,both
2023-06-05T09:00:00,2023-06-05T15:00:00,0.0724463607816016,short,1000LUNC,IOTA,both
2023-06-05T17:00:00,2023-06-05T21:00:00,0.013583474271264478,short,1000LUNC,IOTA,both
2023-06-06T00:00:00,2023-06-06T07:00:00,-0.002186988296504039,long,1000LUNC,IOTA,both
2023-06-06T14:00:00,2023-06-06T16:00:00,-0.007101914580848877,short,1000LUNC,IOTA,both
2023-06-06T16:00:00,2023-06-06T16:00:00,0.0,short,1000LUNC,IOTA,both
2023-06-08T10:00:00,2023-06-09T10:00:00,-0.01278860910044339,long,1000LUNC,IOTA,both
2023-06-09T16:00:00,2023-06-10T17:00:00,-0.12546264503404064,long,1000LUNC,IOTA,both
2023-06-10T19:00:00,2023-06-10T22:00:00,0.01280427224598775,long,1000LUNC,IOTA,both
2023-06-11T01:00:00,2023-06-11T06:00:00,0.01272281792796797,short,1000LUNC,IOTA,both
2023-06-11T23:00:00,2023-06-12T15:00:00,0.019121041446778377,short,1000LUNC,IOTA,both
2023-06-13T02:00:00,2023-06-15T02:00:00,-0.03641411581156441,long,1000LUNC,IOTA,both
2023-06-15T06:00:00,2023-06-15T18:00:00,0.0059074671306928095,long,1000LUNC,IOTA,both
2023-06-15T19:00:00,2023-06-16T10:00:00,0.0032626456348163694,short,1000LUNC,IOTA,both
2023-06-16T11:00:00,2023-06-16T15:00:00,0.016377699841485106,long,1000LUNC,IOTA,both
2023-06-16T17:00:00,2023-06-17T21:00:00,-0.011421443955360112,short,1000LUNC,IOTA,both
