coin,earliest_date,latest_date,data_span_days
CTXC,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
TROY,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
LTO,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
WING,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
HARD,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
EOS,2022-01-01 00:00:00,2024-12-31 23:00:00,1095
IMX,2022-01-10 10:00:00,2025-08-29 07:00:00,1326
ACH,2022-01-10 10:00:00,2025-08-29 07:00:00,1326
GLMR,2022-01-11 16:00:00,2025-08-29 07:00:00,1325
LOKA,2022-01-20 12:00:00,2025-07-10 11:00:00,1266
API3,2022-01-21 10:00:00,2025-08-29 07:00:00,1315
SCRT,2022-01-21 12:00:00,2025-08-29 07:00:00,1315
BTTC,2022-01-25 04:00:00,2025-08-29 07:00:00,1312
ACA,2022-01-25 12:00:00,2025-08-29 07:00:00,1311
XNO,2022-01-28 08:00:00,2025-08-29 07:00:00,1308
WOO,2022-02-08 06:00:00,2025-08-29 07:00:00,1298
ALPINE,2022-02-21 12:00:00,2025-08-29 07:00:00,1284
T,2022-02-25 04:00:00,2025-08-29 07:00:00,1281
ASTR,2022-02-28 11:00:00,2025-08-29 07:00:00,1277
GMT,2022-03-09 12:00:00,2025-08-29 07:00:00,1268
KDA,2022-03-11 11:00:00,2025-08-29 07:00:00,1266
APE,2022-03-17 14:00:00,2025-08-29 07:00:00,1260
BIFI,2022-04-01 09:00:00,2025-08-29 07:00:00,1245
STEEM,2022-04-22 10:00:00,2025-08-29 07:00:00,1224
NEXO,2022-04-29 14:00:00,2025-08-29 07:00:00,1217
REI,2022-05-04 04:00:00,2025-08-29 07:00:00,1213
LDO,2022-05-09 11:00:00,2025-08-29 07:00:00,1207
OP,2022-06-01 08:00:00,2025-08-29 07:00:00,1184
STG,2022-08-19 09:00:00,2025-08-29 07:00:00,1105
LUNC,2022-09-09 08:00:00,2025-08-29 07:00:00,1084
GMX,2022-10-05 10:00:00,2025-08-29 07:00:00,1058
POLYX,2022-10-17 08:00:00,2025-08-29 07:00:00,1046
APT,2022-10-19 01:00:00,2025-08-29 07:00:00,1045
OSMO,2022-10-28 10:00:00,2025-08-29 07:00:00,1035
HFT,2022-11-07 13:00:00,2025-08-29 07:00:00,1025
PHB,2022-11-18 09:00:00,2025-08-29 07:00:00,1014
HOOK,2022-12-01 14:00:00,2025-08-29 07:00:00,1001
MAGIC,2022-12-12 08:00:00,2025-08-29 07:00:00,990
HIFI,2023-01-12 08:00:00,2025-08-29 07:00:00,959
RPL,2023-01-18 08:00:00,2025-08-29 07:00:00,953
GNS,2023-02-17 11:00:00,2025-08-29 07:00:00,923
SYN,2023-02-22 10:00:00,2025-08-29 07:00:00,918
SSV,2023-02-24 08:00:00,2025-08-29 07:00:00,916
LQTY,2023-02-28 11:00:00,2025-08-29 07:00:00,912
USTC,2023-03-10 08:00:00,2025-08-29 07:00:00,902
PROM,2023-03-17 08:00:00,2025-08-29 07:00:00,895
GLM,2023-03-17 08:00:00,2025-08-29 07:00:00,895
GAS,2023-03-17 08:00:00,2025-08-29 07:00:00,895
QKC,2023-03-17 08:00:00,2025-08-29 07:00:00,895
ID,2023-03-22 12:00:00,2025-08-29 07:00:00,890
ARB,2023-03-23 15:00:00,2025-08-29 07:00:00,889
RDNT,2023-03-30 07:00:00,2025-08-29 07:00:00,883
WBTC,2023-04-28 10:00:00,2025-08-29 07:00:00,853
EDU,2023-04-28 12:00:00,2025-08-29 07:00:00,853
SUI,2023-05-03 12:00:00,2025-08-29 07:00:00,848
FLOKI,2023-05-05 18:00:00,2025-08-29 07:00:00,846
PEPE,2023-05-05 18:00:00,2025-08-29 07:00:00,846
MAV,2023-06-28 08:00:00,2025-08-29 07:00:00,792
PENDLE,2023-07-03 10:00:00,2025-08-29 07:00:00,787
ARKM,2023-07-18 12:00:00,2025-08-29 07:00:00,772
WBETH,2023-07-19 06:00:00,2025-08-29 07:00:00,772
WLD,2023-07-24 09:00:00,2025-08-29 07:00:00,766
