Date,ASR,CTK,TRX,CHR,BTC,FUN,OG,TRU,HBAR,MDT
2022-09-30 04:00:00,1409.7237110810115,1161.9108995541617,957.0159085379304,752.5192044414397,1172.7907134698116,946.7473909834074,611.1183945896731,631.8757969129631,787.9545495235567,615.9689371228753
2022-09-30 05:00:00,1409.7237110810115,1159.9213260960207,955.3771826671463,752.5192044414397,1172.7907134698116,946.7473909834074,611.1183945896731,630.7938178086602,787.9545495235567,614.9141957921855
2022-09-30 06:00:00,1409.7237110810115,1157.938554598421,953.7440592779718,752.5192044414397,1172.7907134698116,946.7473909834074,611.1183945896731,629.715537778218,787.9545495235567,613.863060414763
2022-09-30 07:00:00,1409.7237110810115,1148.1255160001292,953.7440592779718,746.1419230478681,1172.7907134698116,946.7473909834074,611.1183945896731,624.3789654241654,787.9545495235567,608.6608310892141
2022-09-30 08:00:00,1409.7237110810115,1150.0747953142209,953.7440592779718,747.4087174842822,1172.7907134698116,946.7473909834074,611.1183945896731,625.4390315793846,787.9545495235567,609.6942111080414
2022-09-30 09:00:00,1409.7237110810115,1150.0747953142209,953.7440592779718,753.8077647230175,1172.7907134698116,946.7473909834074,611.1183945896731,630.7938178086602,787.9545495235567,609.6942111080414
2022-09-30 10:00:00,1409.7237110810115,1150.0747953142209,953.7440592779718,762.9527462707837,1172.7907134698116,946.7473909834074,611.1183945896731,638.4464291165642,787.9545495235567,609.6942111080414
2022-09-30 11:00:00,1409.7237110810115,1150.0747953142209,953.7440592779718,762.9527462707837,1172.7907134698116,946.7473909834074,611.1183945896731,638.4464291165642,787.9545495235567,609.6942111080414
2022-09-30 12:00:00,1409.7237110810115,1150.0747953142209,947.1778351177103,757.7000595494702,1172.7907134698116,946.7473909834074,611.1183945896731,634.0509287439888,787.9545495235567,609.6942111080414
2022-09-30 13:00:00,1409.7237110810115,1150.0747953142209,942.3121955537495,753.8077647230175,1172.7907134698116,946.7473909834074,611.1183945896731,630.7938178086602,787.9545495235567,609.6942111080414
2022-09-30 14:00:00,1409.7237110810115,1150.0747953142209,943.9285114980955,755.1007454515304,1174.8023613488338,946.7473909834074,611.1183945896731,631.8757969129631,787.9545495235567,609.6942111080414
2022-09-30 15:00:00,1409.7237110810115,1150.0747953142209,942.3121955537495,753.8077647230175,1172.7907134698116,946.7473909834074,611.1183945896731,631.8757969129631,787.9545495235567,609.6942111080414
