Date,NMR,STRAX,TROY,CKB,DENT,KMD,FET,DASH,UTK,DGB
2022-11-03 16:00:00,826.5296879718828,778.7480210411073,341.30997099193667,327.25892196304295,525.9548659267648,253.26143541295372,347.0088826342019,209.02144504507245,202.40761066271233,283.9756569854024
2022-11-03 17:00:00,827.7189393214826,778.7480210411073,341.80106447537827,327.25892196304295,526.7116355180264,253.26143541295372,347.5081759905101,209.02144504507245,202.40761066271233,284.3842550530073
2022-11-03 18:00:00,826.5296879718828,778.7480210411073,341.30997099193667,327.25892196304295,525.9548659267648,253.26143541295372,347.0088826342019,208.72112687690424,202.40761066271233,283.9756569854024
2022-11-03 19:00:00,828.9116179084012,778.7480210411073,342.2935732138155,327.25892196304295,527.4705860014818,253.26143541295372,348.00890823257134,209.32262868346592,202.40761066271233,284.7940306366572
2022-11-03 20:00:00,828.9116179084012,778.7480210411073,342.2935732138155,327.25892196304295,527.4705860014818,253.26143541295372,348.00890823257134,209.32262868346592,202.40761066271233,284.7940306366572
2022-11-03 21:00:00,834.9269416958352,778.7480210411073,344.7775614084006,327.25892196304295,531.2983841582414,253.26143541295372,350.53437200784407,210.84166082195267,200.94934257436424,286.86075074287385
2022-11-03 22:00:00,836.1404982971375,778.7480210411073,345.27869158486624,327.25892196304295,532.0706201817272,253.26143541295372,351.0438696415764,211.14811672431014,200.6576889566946,287.2776995084885
2022-11-03 23:00:00,827.7189393214826,778.7480210411073,341.80106447537827,327.25892196304295,526.7116355180264,253.26143541295372,347.5081759905101,209.02144504507245,202.69926428038195,284.3842550530073
2022-11-04 00:00:00,834.9269416958352,778.7480210411073,344.7775614084006,327.25892196304295,531.2983841582414,253.26143541295372,350.53437200784407,210.84166082195267,200.94934257436424,286.86075074287385
2022-11-04 01:00:00,831.3073162260555,778.7480210411073,343.2828609976704,327.25892196304295,528.9950674639136,253.26143541295372,349.0147143257291,209.92760737908287,201.8243034273731,285.6171347714452
2022-11-04 02:00:00,827.7189393214826,778.7480210411073,341.80106447537827,327.25892196304295,526.7116355180264,252.16822058383303,347.5081759905101,209.02144504507245,202.69926428038195,284.3842550530073
2022-11-04 03:00:00,826.5296879718828,778.7480210411073,341.30997099193667,327.25892196304295,525.9548659267648,251.80590992207468,347.0088826342019,208.72112687690424,202.99091789805158,283.9756569854024
