Date,KNC,ASR,HIVE,DIA,ATM,CRV,MDT,STRAX,RIF,SAND
2021-12-14 17:00:00,476.83196237571764,1368.139006482249,246.43861301257508,526.9683542651026,1435.4041801160406,854.6006632386684,512.3533580801454,237.66655156751787,187.9525142443836,1653.7348636901672
2021-12-14 18:00:00,476.83196237571764,1379.4999282715971,248.4850204280833,526.9683542651026,1447.323666768447,854.6006632386684,516.6079012238462,239.64011645493758,189.51325756383042,1667.4673516593612
2021-12-14 19:00:00,476.83196237571764,1386.316481345206,249.71286487738823,526.9683542651026,1454.4753587598907,858.8235201292856,519.1606271100663,240.8242553873894,190.4497035554985,1675.7068444408774
2021-12-14 20:00:00,476.83196237571764,1406.1980944765653,253.29407785452756,526.9683542651026,1475.3344604016022,871.1401860602526,526.6060776115426,244.27799394037388,193.18100436453048,1699.7386983869667
2021-12-14 21:00:00,476.83196237571764,1469.2512104074474,264.65163901059805,526.9683542651026,1541.4876113224573,910.2016122984624,550.2187920590809,255.2312790655532,184.89061523463957,1775.9540066159923
2021-12-14 22:00:00,509.001758406865,1568.37525301951,282.5065437109071,562.5206364299047,1645.4851323647035,971.608989582855,587.3396809878687,272.45063270829013,173.2052069193753,1895.7699641472088
2021-12-14 23:00:00,504.20855097529005,1553.6060546933575,279.8462140707464,557.2234482563525,1629.9897997165751,962.459466319851,581.8087749010579,269.8849983546445,171.57415462676258,1877.9177297872566
2021-12-15 00:00:00,517.2976943461293,1593.9373270455433,287.1109603958006,571.6888467302834,1672.3039773326177,987.4447029226699,596.912403061195,276.89115370498445,176.02818204120504,1926.6680620778948
2021-12-15 01:00:00,506.4208005590939,1560.4226077669664,281.0740585200514,559.6683043364535,1637.141491708019,966.6823232104682,584.3615007872783,271.06913728709634,172.32694799258385,1886.157222568773
2021-12-15 02:00:00,509.27828960484055,1569.227322153711,282.66002426707024,562.8262434399172,1646.379093863634,972.1368466941822,587.6587717236462,272.5986500748466,173.299306090103,1896.7999007448982
2021-12-15 03:00:00,517.6664026100966,1595.073419224478,287.31560113735145,572.0963227436336,1673.4959259978584,988.1485124044392,597.3378573755651,277.0885101937265,176.15364760217528,1928.041310874814
2021-12-15 04:00:00,546.5178242655383,1683.9726322261272,303.3287391637031,603.9813207882842,1766.7659090529385,1043.221604352906,630.6296574750223,292.5316554377857,185.97132774809427,2035.498029233756
2021-12-15 05:00:00,547.255240793473,1686.2448165839967,303.7380206468047,604.7962728149844,1769.1498063834197,1044.6292233164452,631.4805661037625,292.92636841526956,186.2222588700347,2038.2445268275947
2021-12-15 06:00:00,569.3777366315113,1754.4103473200855,316.016465139854,629.2448336159945,1840.6667262978583,1086.857792222618,657.007824965966,304.7677577397879,193.75019252824728,2120.6394546427578
2021-12-15 07:00:00,592.6063572614515,1825.984154592979,328.9088318575556,654.9158224570549,1915.7594922080186,1131.197789574099,683.8114467712799,317.20121653053195,201.65452286937054,2207.1541288486787
2021-12-15 08:00:00,588.089681027852,1812.0670254010274,326.4019827735581,649.9242412935154,1901.1581210588206,1122.5761234224221,678.5996314202467,314.78359954344285,200.11756974748548,2190.331831086416
2021-12-15 09:00:00,562.7409878800999,1733.9606880992592,312.33293179193925,621.9102653756914,1819.2116503235268,1074.189221550766,649.3496473073051,301.2153409424324,191.4918124307835,2095.920976298209
2021-12-15 10:00:00,549.2831362452931,1692.493323568138,304.8635447253343,607.0373908884103,1775.7055240422433,1048.5001754661776,633.8205648327977,294.01182910335046,186.91231945537083,2045.797395210651
2021-12-15 11:00:00,531.4007854428788,1637.3928528897998,294.93846876011946,587.2748042409272,1717.8960137780723,1014.3654156003547,613.1860305858498,284.44003939936493,180.82723974831563,1979.1948285600613
2021-12-15 12:00:00,551.4032087631051,1699.0258535970133,306.04022898925143,609.3803779651737,1782.5592288673765,1052.5470799863524,636.2669271404255,295.1466289136168,187.63374643094951,2053.6935757929373
2021-12-15 13:00:00,570.7603926213886,1758.670692991091,316.78386792066954,630.7728686660575,1845.1365337925106,1089.4970777792535,658.6032786448538,305.50784457257026,194.22068838188562,2125.7891376312054
2021-12-15 14:00:00,542.0011480319388,1670.0555030341754,300.8218900797056,598.9897396247444,1752.1645379037404,1034.599938201229,625.417842123989,290.11403845069657,184.4343746262092,2018.6757314714932
2021-12-15 15:00:00,580.4389845505304,1788.49311268813,322.15568738637864,641.4691140164995,1876.4251862550773,1107.972076675704,669.7714543970679,310.688452402047,197.51415935735363,2161.836918550339
2021-12-15 16:00:00,574.2631211290781,1769.463568690972,318.7279549654024,634.6438907928841,1856.4600461122964,1096.1832678560643,662.6450946313695,307.382731215619,195.41261121110261,2138.835001201939
2021-12-15 17:00:00,594.8186068452553,1832.8007076665879,330.13667630686064,657.3606785371559,1922.9111841994622,1135.4206464647164,686.3641726575003,318.38535546298385,202.40731623519184,2215.393621630195
2021-12-15 18:00:00,583.1121194642934,1796.7297809854074,323.6393327626221,644.4233151132881,1885.066814078072,1113.0746954185333,672.8559981762509,312.11928694542627,198.4237846743877,2171.792972328005
2021-12-15 19:00:00,567.1654870477074,1747.5937942464766,314.78862069054907,626.7999775358934,1833.5150343064142,1082.6349353320004,654.4550990797457,303.5836188073361,192.99739916242606,2112.399961861241
2021-12-15 20:00:00,567.1654870477074,1762.647015617363,314.78862069054907,626.7999775358934,1849.3083541208528,1082.6349353320004,660.0923687451491,303.5836188073361,192.99739916242606,2094.35980749794
2021-12-15 21:00:00,567.1654870477074,1706.6944758048232,314.78862069054907,626.7999775358934,1790.6048823577512,1118.128209131369,639.1387437624235,303.5836188073361,192.99739916242606,2163.021628446034
2021-12-15 22:00:00,577.4478840511139,1676.304010018317,320.4955645085581,626.7999775358934,1790.6048823577512,1138.399255959064,639.1387437624235,303.5836188073361,192.99739916242606,2202.2360158136594
