Date,BTC,FET,STORJ,KMD,TRU,HBAR,FUN,CKB,TROY,NMR
2021-12-30 02:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,32.87154634991597,66.68085597691709,132.31604867768016,77.61746159116325,83.52392719597671,37.71473880991896
2021-12-30 03:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,32.87154634991597,66.68085597691709,133.0862235826725,78.06925123954021,84.01009673728042,37.71473880991896
2021-12-30 04:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,32.87154634991597,66.68085597691709,133.0862235826725,78.06925123954021,84.01009673728042,37.71473880991896
2021-12-30 05:00:00,89.17382082325739,69.65581932012329,153.06486646435462,88.40576633606159,32.87154634991597,66.91455056562124,133.55264726345288,78.34285842846386,84.30452464640642,37.71473880991896
2021-12-30 06:00:00,89.17382082325739,68.53492107819027,153.06486646435462,88.40576633606159,32.87154634991597,65.83776469445034,131.40352420404102,77.08216875260351,82.94790011186655,37.71473880991896
2021-12-30 07:00:00,89.17382082325739,69.33183876514596,153.06486646435462,88.40576633606159,32.87154634991597,66.60332009787417,132.93147215990197,77.08216875260351,83.9124105782836,37.71473880991896
2021-12-30 08:00:00,89.17382082325739,68.931076691359,153.06486646435462,88.40576633606159,32.87154634991597,66.21832980829107,132.16308214741696,77.08216875260351,83.42736774257096,37.49673453934139
2021-12-30 09:00:00,89.17382082325739,68.931076691359,153.06486646435462,88.40576633606159,32.87154634991597,65.83776469445034,132.16308214741696,77.08216875260351,82.94790011186655,37.281236064977364
2021-12-30 10:00:00,89.17382082325739,68.931076691359,153.06486646435462,88.40576633606159,32.87154634991597,65.46154889619632,132.16308214741696,77.08216875260351,82.47391211122729,37.06820043032034
2021-12-30 11:00:00,89.17382082325739,68.931076691359,153.06486646435462,88.40576633606159,32.87154634991597,65.76217598641995,132.16308214741696,77.08216875260351,82.85266716110664,37.23843326811745
2021-12-30 12:00:00,89.17382082325739,68.931076691359,154.30497533617233,88.40576633606159,32.87154634991597,66.29497139371735,132.16308214741696,77.08216875260351,83.52392719597671,37.54013353765081
2021-12-30 13:00:00,89.17382082325739,68.931076691359,154.48377600284226,88.40576633606159,32.87154634991597,66.37179059579579,132.16308214741696,77.08216875260351,83.620710425636,37.583633113013086
2021-12-30 14:00:00,89.17382082325739,68.931076691359,154.66299152024703,88.50832522972297,32.87154634991597,66.4487880326819,132.16308214741696,77.08216875260351,83.71771821035256,37.6272336154644
