Date,CELR,TRU,NEO,XTZ,QTUM,SKL,HIVE,NKN,KNC,BNT
2022-10-12 03:00:00,16834.84246994742,18479.788074447846,6910.786596681154,5801.987076375262,4081.978966698701,10198.615560500719,9923.44022450279,4987.2524240419025,4909.038607949138,4345.583990845025
2022-10-12 04:00:00,16834.84246994742,18479.788074447846,6910.786596681154,5801.987076375262,4081.978966698701,10198.615560500719,9923.44022450279,4987.2524240419025,4909.038607949138,4345.583990845025
2022-10-12 05:00:00,16824.466604018326,18468.398374556036,6906.527252091519,5798.411121320485,4079.4631090921066,10192.329819015044,9929.560138301435,4984.178616692723,4906.013006341773,4345.583990845025
2022-10-12 06:00:00,16855.632642803168,18502.609671328908,6919.321066081191,5809.152234851797,4087.020002779834,10211.210331183642,9911.200396905502,4993.411426726733,4915.101020555435,4345.583990845025
2022-10-12 07:00:00,16747.05341412254,18383.42108142158,6874.748752465332,5771.731315547538,4060.6925733140747,10145.432595921418,9975.45949179127,4961.245279499352,4883.43932686474,4345.583990845025
2022-10-12 08:00:00,16741.917856497843,18383.42108142158,6872.64058050812,5769.961388741175,4059.4473440674283,10142.321454370995,9978.519448690595,4959.7238918024805,4881.941798705629,4345.583990845025
2022-10-12 09:00:00,16762.47900830196,18383.42108142158,6881.081035626952,5777.047617035609,4064.4328489419363,10154.777483175878,9966.279621093301,4965.815047948386,4887.937428793079,4345.583990845025
2022-10-12 10:00:00,16798.58280924292,18383.42108142158,6895.90182554984,5789.490488826145,4073.1870120011954,10176.64931160118,9944.859922798043,4976.51064959012,4898.465294024324,4345.583990845025
2022-10-12 11:00:00,16923.55676690623,18383.42108142158,6947.204256986046,5832.561713789515,4103.489705208893,10252.359039895795,9871.420957214303,5013.5336674420005,4934.9076892681505,4345.583990845025
2022-10-12 12:00:00,16860.83821187137,18383.42108142158,6921.457978084306,5810.946290514199,4088.2822078455483,10214.3638859493,9908.140440006171,4994.953555024055,4916.618964045416,4345.583990845025
2022-10-12 13:00:00,16860.83821187137,18383.42108142158,6927.8766408151405,5816.335112421939,4092.0735051016645,10223.836248131014,9898.960569308207,4999.585660330105,4921.178425217637,4345.583990845025
2022-10-12 14:00:00,16860.83821187137,18383.42108142158,6917.185473159561,5807.359286631164,4085.7585768530507,10208.058723056742,9914.260353804817,4991.870250360459,4913.584014067608,4345.583990845025
2022-10-12 15:00:00,16860.83821187137,18383.42108142158,6930.018841384348,5818.133608127698,4093.3388339529647,10226.9976075151,9895.900612408883,5001.131605184876,4922.700125410964,4345.583990845025
2022-10-12 16:00:00,16860.83821187137,18383.42108142158,6949.358428848675,5834.370260057356,4104.762105117484,10226.9976075151,9868.361000314982,5015.088251524927,4936.437893202808,4345.583990845025
2022-10-12 17:00:00,16860.83821187137,18383.42108142158,6949.358428848675,5837.990719418237,4104.762105117484,10226.9976075151,9868.361000314982,5015.088251524927,4939.501149729773,4345.583990845025
2022-10-12 18:00:00,16860.83821187137,18383.42108142158,6949.358428848675,5845.245134726614,4104.762105117484,10226.9976075151,9868.361000314982,5015.088251524927,4945.6390821929335,4345.583990845025
2022-10-12 19:00:00,16860.83821187137,18383.42108142158,6949.358428848675,5854.338546572798,4104.762105117484,10226.9976075151,9868.361000314982,5015.088251524927,4953.332982445256,4345.583990845025
2022-10-12 20:00:00,16860.83821187137,18383.42108142158,6949.358428848675,5867.116959365442,4113.721673167319,10226.9976075151,9868.361000314982,5015.088251524927,4964.144747608062,4345.583990845025
2022-10-12 21:00:00,16860.83821187137,18383.42108142158,6955.865318763329,5872.610514570841,4117.573472486764,10226.9976075151,9868.361000314982,5015.088251524927,4968.792823214437,4349.652889712858
2022-10-12 22:00:00,16860.83821187137,18383.42108142158,6949.358428848675,5867.116959365442,4113.721673167319,10226.9976075151,9868.361000314982,5015.088251524927,4964.144747608062,4345.583990845025
2022-10-12 23:00:00,16860.83821187137,18383.42108142158,6949.358428848675,5867.116959365442,4113.721673167319,10226.9976075151,9868.361000314982,5015.088251524927,4964.144747608062,4345.583990845025
2022-10-13 00:00:00,16860.83821187137,18383.42108142158,7077.355503752844,5975.180720446166,4189.49044326694,10226.9976075151,9868.361000314982,5015.088251524927,5055.577073858068,4425.623327608764
2022-10-13 01:00:00,17155.017618475908,18383.42108142158,7200.837635320744,6079.432661933755,4262.586560855443,10226.9976075151,10040.539189011915,5102.588983538609,5143.784234435881,4502.839372743133
2022-10-13 02:00:00,17121.825065844223,18347.85174040625,7186.905024610675,6067.669812539496,4254.339053804449,10207.209801760477,10021.112154141207,5092.71618963302,5133.831733498567,4494.1270102031585
2022-10-13 03:00:00,17061.304475958532,18282.99750867603,7161.501440012116,6046.222393536304,4239.301222958738,10171.130332666853,9985.690485215904,5074.714943461438,5115.685156034401,4478.241599820051
2022-10-13 04:00:00,17099.767964310126,18324.21521642505,7177.646531825348,6059.8531686586075,4248.858423783444,10194.060417152734,10008.202508854069,5086.155524654427,5127.218101635766,4488.337474602254
2022-10-13 05:00:00,17322.929699570286,18563.356687438754,7271.31891723253,6138.937712458394,4304.30845215256,10327.098726022588,10138.815265902735,5152.532758255137,5194.131225311274,4546.912841318107
2022-10-13 06:00:00,17546.19283846098,18802.60682319887,7365.033866925877,6218.058191898537,4359.783676750692,10460.197486866899,10269.487372766647,5218.940153354922,5261.074753991756,4605.514824401849
2022-10-13 07:00:00,17534.603543323283,18790.187664134664,7360.1692474629135,6213.951152141669,4356.904030993261,10453.288505699873,10262.704356007882,5218.940153354922,5257.599803691894,4602.472872734476
2022-10-13 08:00:00,17680.579263797175,18946.616132867057,7421.442717721511,6265.682347214444,4356.904030993261,10540.312219533542,10348.141455208748,5218.940153354922,5301.369365827191,4640.788497715617
2022-10-13 09:00:00,17852.985719294855,19131.36793779413,7493.81051826419,6326.780123969393,4356.904030993261,10643.092668210898,10449.048012774669,5218.940153354922,5353.063956146286,4686.041647155344
2022-10-13 10:00:00,17727.806186705475,18997.224790317112,7441.266270890718,6282.418727440726,4356.904030993261,10568.466642824445,10375.782567609971,5218.940153354922,5353.063956146286,4653.184593869782
2022-10-13 11:00:00,17639.461637602293,18902.554234883642,7404.183548610534,6251.110992918597,4356.904030993261,10515.799865534625,10324.076009964076,5218.940153354922,5353.063956146286,4629.99596632558
