Date,FUN,ONG,DUSK,YFI,WING,LTC,CTXC,EOS,FIO,MDT
2022-02-10 00:00:00,985.0753047700117,1046.3456343202597,2354.5465049266127,791.4251210504565,1425.884675595659,559.830263835496,833.4295399907668,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-10 01:00:00,991.909777282292,1046.3456343202597,2354.5465049266127,796.9160446470138,1425.884675595659,563.714377599387,827.6870305282672,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-10 02:00:00,996.9823051995886,1046.3456343202597,2354.5465049266127,796.9160446470138,1425.884675595659,563.714377599387,823.4758569224343,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-10 03:00:00,991.4511967102704,1046.3456343202597,2354.5465049266127,796.9160446470138,1425.884675595659,563.714377599387,828.069864492434,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-10 04:00:00,990.9930399650253,1046.3456343202597,2354.5465049266127,796.9160446470138,1425.884675595659,563.714377599387,828.4526984566007,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-10 05:00:00,990.535306459268,1046.3456343202597,2354.5465049266127,796.9160446470138,1425.884675595659,563.714377599387,828.8355324207671,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-10 06:00:00,983.7196965524382,1046.3456343202597,2354.5465049266127,796.9160446470138,1425.884675595659,563.714377599387,834.5780418832668,684.6906604928333,1301.3419856659555,449.89836238800797
2022-02-10 07:00:00,986.8886049168502,1046.3456343202597,2354.5465049266127,796.9160446470138,1425.884675595659,563.714377599387,831.8982041341001,684.6906604928333,1305.5340675341847,449.89836238800797
2022-02-10 08:00:00,977.8882528428251,1046.3456343202597,2354.5465049266127,796.9160446470138,1412.8807113859402,563.714377599387,839.5548834174328,684.6906604928333,1293.6276920892765,449.89836238800797
2022-02-10 09:00:00,962.9586611963696,1046.3456343202597,2354.5465049266127,796.9160446470138,1391.310013502185,563.714377599387,852.5712381990987,684.6906604928333,1273.8776509886764,449.89836238800797
2022-02-10 10:00:00,964.2576162249618,1046.3456343202597,2351.3746865544617,795.842516073174,1393.1867806067296,563.714377599387,851.4227363065988,684.6906604928333,1275.5960111293987,449.29230262726963
2022-02-10 11:00:00,971.685065013283,1046.3456343202597,2333.401049112273,789.7591874880821,1403.918169492237,563.714377599387,844.9145589157658,684.6906604928333,1285.4216260769294,445.8579639830863
2022-02-10 12:00:00,1020.7086808587886,1046.3456343202597,2221.3301332962787,751.8278445457458,1403.918169492237,563.714377599387,804.3341587141025,684.6906604928333,1350.2739308671025,424.44385243700253
2022-02-10 13:00:00,1002.5754738122092,1046.3456343202597,2261.5064993435217,765.4258731477154,1403.918169492237,563.714377599387,804.3341587141025,684.6906604928333,1326.285894694616,424.44385243700253
2022-02-10 14:00:00,986.8886049168502,1046.3456343202597,2297.453774227897,777.5925303178988,1403.918169492237,554.8941802508463,804.3341587141025,684.6906604928333,1305.5340675341847,424.44385243700253
2022-02-10 15:00:00,984.1711512089562,1046.3456343202597,2303.797410972199,779.7395874655781,1403.918169492237,553.3662476755801,804.3341587141025,684.6906604928333,1301.9392054849855,424.44385243700253
2022-02-10 16:00:00,987.797760702126,1046.3456343202597,2295.3392286464637,776.8768446020057,1403.918169492237,555.4053678881108,804.3341587141025,684.6906604928333,1306.736770498288,424.44385243700253
2022-02-10 17:00:00,1003.983585432732,1046.3456343202597,2258.3346809713707,764.3523445738757,1403.918169492237,564.5061112757907,804.3341587141025,684.6906604928333,1328.14865578267,424.44385243700253
2022-02-10 18:00:00,1026.572014592779,1046.3456343202597,2208.642859807675,747.5337302503868,1403.918169492237,577.2068232097122,804.3341587141025,684.6906604928333,1358.0304110827108,424.44385243700253
2022-02-10 19:00:00,1027.0636678564726,1046.846757708344,2208.642859807675,747.5337302503868,1404.590544094484,577.4832632591421,804.3341587141025,684.6906604928333,1358.680808789168,424.44385243700253
2022-02-10 20:00:00,1029.034999272704,1048.8560605062485,2208.642859807675,747.5337302503868,1407.2864952347804,578.591676432384,804.3341587141025,684.6906604928333,1361.2886414355962,425.258523938801
2022-02-10 21:00:00,1020.7086808587886,1040.3693622536991,2208.642859807675,747.5337302503868,1395.8995983195061,573.9100683889046,804.3341587141025,684.6906604928333,1350.2739308671025,421.8175934738035
2022-02-10 22:00:00,1045.5918763941079,1065.7318528010835,2208.642859807675,747.5337302503868,1429.9293301166663,587.9010500658648,804.3341587141025,684.6906604928333,1383.1913840818054,432.1008112571728
2022-02-10 23:00:00,1052.2615007283198,1072.5299460721408,2208.642859807675,747.5337302503868,1439.050567256763,591.6511548994548,804.3341587141025,684.6906604928333,1392.0144890833087,434.8570970993432
2022-02-11 00:00:00,1046.6124638771673,1066.7720986310505,2208.642859807675,747.5337302503868,1431.3250639674393,591.6511548994548,800.016112962099,684.6906604928333,1384.5414976826662,432.52257876450045
2022-02-11 01:00:00,1055.3685720887381,1075.6968652042435,2208.642859807675,747.5337302503868,1443.2997323175607,591.6511548994548,806.7091611512504,684.6906604928333,1396.1247680865076,436.1411239608571
2022-02-11 02:00:00,1049.1726704913478,1069.3816194202652,2208.642859807675,747.5337302503868,1434.8263483704905,591.6511548994548,801.9730995397948,684.6906604928333,1387.928340876606,433.58060855599865
2022-02-11 03:00:00,1049.1726704913478,1069.3816194202652,2208.642859807675,747.5337302503868,1434.8263483704905,591.6511548994548,801.9730995397948,684.6906604928333,1387.928340876606,433.58060855599865
2022-02-11 04:00:00,1062.1639120774223,1082.6230956389413,2208.642859807675,747.5337302503868,1452.5928955271336,591.6511548994548,811.903425190362,684.6906604928333,1405.1141796690356,438.9493629957709
2022-02-11 05:00:00,1053.8127461839385,1074.111071299765,2208.642859807675,741.656315172251,1441.172017724463,591.6511548994548,805.5199093166292,684.6906604928333,1394.0665988952248,435.49816407295395
2022-02-11 06:00:00,1045.08232869606,1065.2124902997184,2208.642859807675,735.5119889744302,1429.2324834645626,591.6511548994548,798.846498761862,684.6906604928333,1382.5173142065219,431.8902358130903
2022-02-11 07:00:00,1054.849453263313,1075.1677472184076,2208.642859807675,742.3859327966213,1442.5897963941384,591.6511548994548,806.3123538904777,684.6906604928333,1395.4380367692,435.926593157138
2022-02-11 08:00:00,1054.849453263313,1062.6232523553829,2208.642859807675,733.7241620688046,1425.7584132568222,591.6511548994548,796.9047231207297,684.6906604928333,1379.1567956984848,430.84042969784224
2022-02-11 09:00:00,1054.849453263313,1062.10691452625,2208.642859807675,733.3676391523474,1425.065624912188,591.6511548994548,796.5175002231977,684.6906604928333,1378.4866514828877,430.6310806066382
2022-02-11 10:00:00,1054.849453263313,1068.8586944229937,2208.642859807675,738.0296339244649,1434.12472179427,591.6511548994548,801.5809366549342,684.6906604928333,1378.4866514828877,433.3685886985141
2022-02-11 11:00:00,1054.849453263313,1067.292983444835,2208.642859807675,736.9485358278959,1432.0239531588293,591.6511548994548,800.4067458297561,684.6906604928333,1378.4866514828877,432.73377142991274
2022-02-11 12:00:00,1054.849453263313,1059.5327339287558,2208.642859807675,731.5902091010815,1421.6117576680967,591.6511548994548,794.5870167035099,684.6906604928333,1378.4866514828877,429.58737949028676
2022-02-11 13:00:00,1054.849453263313,1066.7720986310505,2208.642859807675,736.5888732921088,1431.3250639674393,591.6511548994548,800.016112962099,684.6906604928333,1378.4866514828877,432.52257876450045
2022-02-11 14:00:00,1054.849453263313,1064.693633753055,2208.642859807675,735.1537269242721,1428.536315669402,591.6511548994548,798.457386974837,684.6906604928333,1378.4866514828877,431.6798655082616
2022-02-11 15:00:00,1054.849453263313,1076.2265042319166,2208.642859807675,743.116987383324,1444.0103673408582,591.6511548994548,807.1063591626494,684.6906604928333,1378.4866514828877,436.3558660209067
2022-02-11 16:00:00,1054.849453263313,1082.6230956389413,2208.642859807675,747.5337302503868,1452.5928955271336,591.6511548994548,811.903425190362,684.6906604928333,1378.4866514828877,438.9493629957709
2022-02-11 17:00:00,1054.849453263313,1113.5079114085697,2208.642859807675,768.8591958102552,1494.0321222971384,591.6511548994548,835.0652141922266,684.6906604928333,1378.4866514828877,451.47160666758094
2022-02-11 18:00:00,1054.849453263313,1118.636658185784,2218.8157286604223,772.4005124746831,1500.9135394418026,591.6511548994548,838.9114715759164,684.6906604928333,1378.4866514828877,453.5510562376977
2022-02-11 19:00:00,1054.849453263313,1147.409989551193,2275.8876292926334,792.2680322181265,1539.5197144720644,591.6511548994548,860.4897718946671,684.6906604928333,1378.4866514828877,465.21719889158084
2022-02-11 20:00:00,1054.849453263313,1148.6158854939686,2278.279523805815,792.2680322181265,1541.1377068151776,591.6511548994548,861.3941226796326,684.6906604928333,1378.4866514828877,465.7061292109624
2022-02-11 21:00:00,1054.849453263313,1168.885577590921,2318.484456578859,792.2680322181265,1568.3342545825042,591.6511548994548,876.5951954328025,684.6906604928333,1378.4866514828877,473.92447266762645
2022-02-11 22:00:00,1054.849453263313,1151.6417439910551,2284.281313910678,792.2680322181265,1545.1976059374515,591.6511548994548,863.663337965933,684.6906604928333,1378.4866514828877,466.93296306030635
2022-02-11 23:00:00,1053.1847776400673,1149.824318829575,2284.281313910678,792.2680322181265,1542.759103666114,591.6511548994548,863.663337965933,684.6906604928333,1378.4866514828877,466.19608831586606
2022-02-12 00:00:00,1047.1256601954854,1143.2092207609946,2284.281313910678,792.2680322181265,1533.8833975257753,591.6511548994548,863.663337965933,684.6906604928333,1378.4866514828877,463.5139978496136
2022-02-12 01:00:00,1054.2939769846068,1151.0352975750513,2284.281313910678,792.2680322181265,1533.8833975257753,591.6511548994548,863.663337965933,684.6906604928333,1378.4866514828877,466.6870794567991
2022-02-12 02:00:00,1067.7889398900097,1165.768549384012,2284.281313910678,792.2680322181265,1533.8833975257753,591.6511548994548,863.663337965933,684.6906604928333,1378.4866514828877,472.6606740738461
2022-02-12 03:00:00,1058.7542370670376,1155.9048281835126,2284.281313910678,792.2680322181265,1533.8833975257753,591.6511548994548,863.663337965933,684.6906604928333,1378.4866514828877,468.6614298722693
2022-02-12 04:00:00,1067.7889398900097,1165.768549384012,2284.281313910678,792.2680322181265,1533.8833975257753,591.6511548994548,863.663337965933,684.6906604928333,1378.4866514828877,472.6606740738461
