Date,ONG,PSG,OG,CKB,PAXG,STRAX,HIVE,LSK,KMD,YFI
2022-03-16 19:00:00,482.24865018312727,344.4316844158553,415.17021185088106,208.9408780068612,405.8157091172567,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 20:00:00,482.49295041118364,344.4316844158553,415.17021185088106,208.9408780068612,405.8157091172567,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 21:00:00,478.8284469903392,344.4316844158553,415.17021185088106,210.5399153385464,405.8157091172567,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 22:00:00,478.8284469903392,344.4316844158553,415.17021185088106,210.5936382054355,405.8157091172567,311.2204545901472,150.77410903590166,142.0828924834252,519.6640164470183,194.8096483682229
2022-03-16 23:00:00,476.3972286760954,344.4316844158553,415.17021185088106,209.5243635763143,405.8157091172567,311.2204545901472,150.77410903590166,141.36147642613446,519.6640164470183,193.8205158555638
2022-03-17 00:00:00,474.7100135985681,344.4316844158553,415.17021185088106,208.78230916445787,405.8157091172567,310.11823188226407,150.24012534591867,140.86082864724096,519.6640164470183,193.13407841008492
2022-03-17 01:00:00,475.7932768141835,344.4316844158553,415.17021185088106,209.25873938313947,405.8157091172567,310.82590533229967,150.58296538854376,141.18226562944815,519.6640164470183,193.5748001914467
2022-03-17 02:00:00,475.9139446500481,344.4316844158553,415.17021185088106,209.31181032896322,405.8157091172567,310.90473513329687,150.62115533665144,141.2180714284919,519.6640164470183,193.62389347072425
2022-03-17 03:00:00,473.0347072737937,344.4316844158553,415.17021185088106,208.04549234361028,405.8157091172567,309.02378891620606,149.7099106358499,140.36371455572058,519.6640164470183,192.452485998252
2022-03-17 04:00:00,473.7512455832213,344.4316844158553,415.17021185088106,208.36063320552938,405.8157091172567,309.49188857121675,149.93668656713368,140.5763331589355,519.6640164470183,192.74400705757782
2022-03-17 05:00:00,475.9139446500481,344.4316844158553,415.17021185088106,209.31181032896322,405.8157091172567,310.90473513329687,150.62115533665144,141.2180714284919,519.6640164470183,193.62389347072425
2022-03-17 06:00:00,475.9139446500481,344.4316844158553,415.17021185088106,209.20569534273815,405.8157091172567,310.74711549571344,150.5447948016265,141.14647798290076,519.6640164470183,193.62389347072425
2022-03-17 07:00:00,475.9139446500481,344.4316844158553,415.17021185088106,208.09794960340446,405.8157091172567,309.1017071685804,149.74765897438644,140.39910631430752,519.6640164470183,193.62389347072425
2022-03-17 08:00:00,475.9139446500481,344.4316844158553,415.17021185088106,205.35368701843797,400.4640712513163,305.02547166722815,147.77288268037242,138.54761275007309,519.6640164470183,193.62389347072425
2022-03-17 09:00:00,475.9139446500481,344.4316844158553,415.17021185088106,205.35368701843797,403.27364128264594,305.02547166722815,148.80962553054792,138.54761275007309,516.043565474011,193.62389347072425
2022-03-17 10:00:00,475.9139446500481,344.4316844158553,415.17021185088106,205.35368701843797,403.9822044073896,305.02547166722815,149.07108822600827,138.54761275007309,515.1384527307591,193.62389347072425
