Date,TRU,DOT,BNT,AVA,STPT,CHR,STORJ,1INCH,KMD,ASR
2021-11-19 16:00:00,6912.722208965323,13634.42067974763,3890.635416695693,6101.34526537525,4167.791997990776,3434.09814074158,5710.196022459688,1222.4149985277468,6533.87911362482,2663.432836288299
2021-11-19 17:00:00,6912.722208965323,13634.42067974763,3890.635416695693,6101.34526537525,4160.032191626987,3427.7043627845114,5710.196022459688,1224.6951981146294,6533.87911362482,2658.473922052052
2021-11-19 18:00:00,6912.722208965323,13634.42067974763,3890.635416695693,6101.34526537525,4186.4155332638675,3449.443207838545,5710.196022459688,1216.977007802137,6533.87911362482,2658.473922052052
2021-11-19 19:00:00,6912.722208965323,13634.42067974763,3924.460703575444,6101.34526537525,4150.332433672252,3419.7121403381757,5710.196022459688,1227.5574379905634,6533.87911362482,2658.473922052052
2021-11-19 20:00:00,6912.722208965323,13634.42067974763,3894.9671688760923,6101.34526537525,4181.759649445595,3445.606941064304,5710.196022459688,1218.3319645746017,6533.87911362482,2658.473922052052
2021-11-19 21:00:00,6912.722208965323,13634.42067974763,3854.908737019883,6101.34526537525,4225.21456508281,3481.4120976238883,5710.196022459688,1205.801828667131,6533.87911362482,2658.473922052052
2021-11-19 22:00:00,6912.722208965323,13634.42067974763,3730.5568422773063,6101.34526537525,4366.05505058557,3597.459167544684,5710.196022459688,1166.9049954843206,6533.87911362482,2658.473922052052
2021-11-19 23:00:00,6912.722208965323,13301.223693439042,3730.5568422773063,5952.241031128544,4259.35771308348,3509.544720634991,5710.196022459688,1166.9049954843206,6533.87911362482,2593.5063286490204
2021-11-20 00:00:00,6912.722208965323,13352.111960438897,3730.5568422773063,5952.241031128544,4275.653306447434,3522.9716543448344,5688.433024914924,1166.9049954843206,6533.87911362482,2603.4286520051196
2021-11-20 01:00:00,6912.722208965323,13352.111960438897,3730.5568422773063,5952.241031128544,4366.443040903759,3597.7788564425377,5570.155672166559,1166.9049954843206,6533.87911362482,2658.7101678462445
2021-11-20 02:00:00,6912.722208965323,13352.111960438897,3730.5568422773063,5952.241031128544,4407.570014631838,3631.665879615002,5518.180628042471,1166.9049954843206,6533.87911362482,2683.7522220306855
2021-11-20 03:00:00,6912.722208965323,13352.111960438897,3730.5568422773063,5952.241031128544,4430.073453086825,3650.207835690501,5518.180628042471,1166.9049954843206,6533.87911362482,2697.454478093871
2021-11-20 04:00:00,6912.722208965323,13134.605144477991,3669.7858164703716,5952.241031128544,4357.907253903592,3650.207835690501,5518.180628042471,1166.9049954843206,6533.87911362482,2653.512760374002
2021-11-20 05:00:00,6912.722208965323,13255.052467295054,3703.438588825825,5952.241031128544,4397.870256677103,3617.0387658117083,5518.180628042471,1166.9049954843206,6533.87911362482,2677.846077175865
2021-11-20 06:00:00,6912.722208965323,13139.282710412634,3671.092720251166,5952.241031128544,4397.870256677103,3648.9083668988706,5518.180628042471,1166.9049954843206,6533.87911362482,2654.457743550773
2021-11-20 07:00:00,6912.722208965323,13224.648288719873,3694.9437142506627,5952.241031128544,4397.870256677103,3625.354532715156,5518.180628042471,1166.9049954843206,6533.87911362482,2671.703686526851
