Date,STORJ,1INCH,LRC,KNC,SKL,TRU,NEAR,STRAX,DOT,DIA
2022-09-29 02:00:00,4528.90360740844,9002.386360811752,8650.01216013481,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4248.073853690981,2237.944055450379,3431.9954490863825
2022-09-29 03:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4270.371843278527,5368.069598210855,5307.398587928946,4240.272065162623,2237.944055450379,3431.9954490863825
2022-09-29 04:00:00,4528.90360740844,9002.386360811752,8681.960496829674,7287.345359352438,4294.030413047383,5368.069598210855,5307.398587928946,4263.763877157983,2237.944055450379,3431.9954490863825
2022-09-29 05:00:00,4528.90360740844,9002.386360811752,8706.077053765312,7287.345359352438,4305.958275305848,5368.069598210855,5307.398587928946,4275.607665705645,2237.944055450379,3431.9954490863825
2022-09-29 06:00:00,4528.90360740844,9002.386360811752,8738.441652478192,7287.345359352438,4321.965555139699,5368.069598210855,5307.398587928946,4291.502117994513,2237.944055450379,3431.9954490863825
2022-09-29 07:00:00,4528.90360740844,9002.386360811752,8714.145707197902,7287.345359352438,4309.948968795475,5368.069598210855,5307.398587928946,4279.570230734103,2237.944055450379,3431.9954490863825
2022-09-29 08:00:00,4528.90360740844,9002.386360811752,8650.01216013481,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4248.073853690981,2237.944055450379,3431.9954490863825
2022-09-29 09:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4240.272065162623,2237.944055450379,3431.9954490863825
2022-09-29 10:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4251.985523906166,2237.944055450379,3431.9954490863825
2022-09-29 11:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4279.570230734103,2237.944055450379,3431.9954490863825
2022-09-29 12:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4299.493742050369,2237.944055450379,3431.9954490863825
2022-09-29 13:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4263.763877157984,2237.944055450379,3431.9954490863825
2022-09-29 14:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4275.607665705646,2237.944055450379,3431.9954490863825
2022-09-29 15:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4263.763877157984,2237.944055450379,3431.9954490863825
2022-09-29 16:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4299.493742050369,2237.944055450379,3431.9954490863825
2022-09-29 17:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4283.5401474602,2237.944055450379,3431.9954490863825
2022-09-29 18:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4267.704509207113,2237.944055450379,3419.3078503836605
2022-09-29 19:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4244.169374046044,2237.944055450379,3400.4513732675737
2022-09-29 20:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4244.169374046044,2237.944055450379,3403.579663399375
2022-09-29 21:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4244.169374046044,2237.944055450379,3409.8535429632448
2022-09-29 22:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4244.169374046044,2237.944055450379,3384.8957860156634
2022-09-29 23:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4278.229013183363,5368.069598210855,5307.398587928946,4244.169374046044,2237.944055450379,3384.8957860156634
2022-09-30 00:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7280.653582162952,4278.229013183363,5368.069598210855,5307.398587928946,4248.070265014836,2237.944055450379,3384.8957860156634
2022-09-30 01:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7280.653582162952,4278.229013183363,5368.069598210855,5307.398587928946,4248.070265014836,2237.944055450379,3384.8957860156634
2022-09-30 02:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7307.494701359866,4278.229013183363,5368.069598210855,5307.398587928946,4232.466701139667,2237.944055450379,3384.8957860156634
2022-09-30 03:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7280.653582162952,4278.229013183363,5368.069598210855,5307.398587928946,4248.070265014836,2237.944055450379,3384.8957860156634
2022-09-30 04:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4282.161208967539,5368.069598210855,5307.398587928946,4244.169374046044,2237.944055450379,3384.8957860156634
2022-09-30 05:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7247.378200160378,4258.675864128594,5338.628631493061,5307.398587928946,4267.574719858799,2237.944055450379,3384.8957860156634
2022-09-30 06:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7214.405596883942,4239.300632717635,5314.340057191455,5307.398587928946,4287.07917470276,2237.944055450379,3384.8957860156634
2022-09-30 07:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7194.765654242698,4239.300632717635,5299.872706763529,5307.398587928946,4298.781847609138,2237.944055450379,3384.8957860156634
2022-09-30 08:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7227.5585697132665,4239.300632717635,5324.028917824439,5307.398587928946,4279.277392765175,2237.944055450379,3384.8957860156634
2022-09-30 09:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7294.04944891946,4239.300632717635,5373.008024704149,5307.398587928946,4240.268483077252,2237.944055450379,3384.8957860156634
2022-09-30 10:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7341.325695347642,4239.300632717635,5407.83307671612,5307.398587928946,4212.962246295706,2237.944055450379,3384.8957860156634
2022-09-30 11:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7314.235932634181,4239.300632717635,5407.83307671612,5307.398587928946,4228.565810170876,2237.944055450379,3384.8957860156634
2022-09-30 12:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7280.65358216295,4239.300632717635,5407.83307671612,5307.398587928946,4248.070265014837,2237.944055450379,3384.8957860156634
2022-09-30 13:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7227.5585697132665,4239.300632717635,5407.83307671612,5307.398587928946,4279.277392765175,2237.944055450379,3384.8957860156634
2022-09-30 14:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7287.345359352438,4239.300632717635,5407.83307671612,5307.398587928946,4244.169374046045,2237.944055450379,3384.8957860156634
2022-09-30 15:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7267.306829491709,4239.300632717635,5407.83307671612,5307.398587928946,4255.872046952421,2237.944055450379,3384.8957860156634
2022-09-30 16:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7300.765884876108,4239.300632717635,5407.83307671612,5307.398587928946,4236.3675921084605,2237.944055450379,3384.8957860156634
2022-09-30 17:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7327.755777241639,4239.300632717635,5407.83307671612,5307.398587928946,4220.764028233291,2237.944055450379,3384.8957860156634
2022-09-30 18:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7375.471396256236,4239.300632717635,5407.83307671612,5307.398587928946,4220.764028233291,2237.944055450379,3384.8957860156634
2022-09-30 19:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7403.017507913591,4239.300632717635,5407.83307671612,5307.398587928946,4220.764028233291,2237.944055450379,3384.8957860156634
2022-09-30 20:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7409.936215864909,4239.300632717635,5407.83307671612,5307.398587928946,4224.708667512014,2237.944055450379,3384.8957860156634
2022-09-30 21:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7396.111707999487,4239.300632717635,5407.83307671612,5307.398587928946,4216.826748356208,2237.944055450379,3384.8957860156634
2022-09-30 22:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7389.218780033039,4239.300632717635,5407.83307671612,5307.398587928946,4212.896807304617,2237.944055450379,3384.8957860156634
2022-09-30 23:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7389.218780033039,4239.300632717635,5407.83307671612,5307.398587928946,4212.896807304617,2237.944055450379,3384.8957860156634
2022-10-01 00:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7382.338688059079,4239.300632717635,5407.83307671612,5307.398587928946,4208.974184579008,2237.944055450379,3384.8957860156634
2022-10-01 01:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7375.471396256235,4239.300632717635,5407.83307671612,5307.398587928946,4205.058859756144,2237.944055450379,3384.8957860156634
2022-10-01 02:00:00,4528.90360740844,9002.386360811752,8634.126003734194,7375.471396256235,4239.300632717635,5407.83307671612,5307.398587928946,4205.058859756144,2237.944055450379,3384.8957860156634
