Trading Coin,Total Pairs,PF Mean,PF Median,PF Std,PF Min,PF Max,PF Above 1.0 (%),PF Above 1.2 (%),PF Above 1.5 (%),DD Mean (%),DD Median (%),DD Std (%),DD Best (%),DD Worst (%),DD Better than -10% (%),DD Better than -20% (%),DD Worse than -50% (%)
WIN,135,0.977,0.978,0.024,0.892,1.035,18.519,0.000,0.000,-94.437,-95.197,3.825,-79.955,-99.916,0.000,0.000,100.000
EOS,135,0.975,0.978,0.023,0.922,1.037,13.333,0.000,0.000,-84.876,-85.024,9.247,-59.057,-99.541,0.000,0.000,100.000
HBAR,135,0.973,0.974,0.023,0.920,1.041,11.111,0.000,0.000,-92.531,-95.104,7.838,-66.029,-99.957,0.000,0.000,100.000
HOT,135,0.973,0.973,0.028,0.891,1.041,15.556,0.000,0.000,-92.647,-94.940,6.610,-69.630,-99.930,0.000,0.000,100.000
JST,135,0.972,0.971,0.026,0.909,1.032,17.037,0.000,0.000,-87.236,-87.679,6.870,-60.010,-98.702,0.000,0.000,100.000
QTUM,135,0.972,0.973,0.025,0.904,1.040,13.333,0.000,0.000,-92.972,-94.235,5.600,-76.451,-99.843,0.000,0.000,100.000
RLC,135,0.972,0.975,0.022,0.901,1.028,11.111,0.000,0.000,-96.073,-96.755,3.388,-81.138,-99.898,0.000,0.000,100.000
XVS,135,0.972,0.972,0.021,0.920,1.024,11.852,0.000,0.000,-94.795,-96.030,4.978,-72.648,-99.806,0.000,0.000,100.000
XLM,135,0.971,0.970,0.024,0.910,1.040,10.370,0.000,0.000,-86.767,-87.412,7.555,-57.526,-97.593,0.000,0.000,100.000
LTC,135,0.970,0.970,0.022,0.910,1.041,9.630,0.000,0.000,-85.879,-87.946,9.295,-49.135,-98.936,0.000,0.000,99.259
SUSHI,135,0.970,0.973,0.023,0.898,1.018,6.667,0.000,0.000,-92.430,-93.422,5.401,-68.241,-99.709,0.000,0.000,100.000
CHZ,135,0.969,0.970,0.029,0.907,1.036,17.037,0.000,0.000,-95.654,-97.681,5.103,-78.241,-99.962,0.000,0.000,100.000
ZEC,135,0.969,0.970,0.022,0.887,1.012,7.407,0.000,0.000,-91.567,-93.861,6.868,-70.002,-99.707,0.000,0.000,100.000
SC,135,0.969,0.969,0.026,0.906,1.051,12.593,0.000,0.000,-89.163,-91.015,7.904,-67.829,-99.067,0.000,0.000,100.000
NEO,135,0.966,0.966,0.023,0.890,1.030,5.926,0.000,0.000,-87.529,-90.367,10.267,-51.986,-99.847,0.000,0.000,100.000
GRT,135,0.966,0.969,0.023,0.905,1.012,5.926,0.000,0.000,-93.910,-94.755,4.424,-76.891,-99.742,0.000,0.000,100.000
BNT,135,0.965,0.971,0.027,0.844,1.018,5.926,0.000,0.000,-85.213,-86.093,7.914,-60.388,-99.568,0.000,0.000,100.000
IOTA,135,0.964,0.965,0.023,0.899,1.030,5.185,0.000,0.000,-92.071,-94.124,7.225,-64.309,-99.986,0.000,0.000,100.000
ZIL,135,0.964,0.963,0.023,0.909,1.022,4.444,0.000,0.000,-92.643,-95.209,6.738,-65.121,-99.876,0.000,0.000,100.000
ANKR,135,0.961,0.958,0.027,0.900,1.019,8.889,0.000,0.000,-93.493,-96.666,7.581,-64.403,-99.978,0.000,0.000,100.000
DOT,135,0.961,0.963,0.024,0.904,1.027,3.704,0.000,0.000,-91.743,-93.007,5.596,-74.642,-99.367,0.000,0.000,100.000
CTSI,135,0.960,0.961,0.019,0.916,1.012,1.481,0.000,0.000,-95.350,-95.817,3.560,-79.278,-99.843,0.000,0.000,100.000
1INCH,135,0.960,0.962,0.024,0.900,1.007,4.444,0.000,0.000,-92.785,-94.300,5.906,-68.794,-99.549,0.000,0.000,100.000
TFUEL,135,0.959,0.962,0.026,0.824,1.030,3.704,0.000,0.000,-96.585,-98.474,4.653,-70.393,-100.000,0.000,0.000,100.000
BAND,135,0.958,0.959,0.022,0.888,1.000,0.741,0.000,0.000,-97.377,-98.679,3.214,-83.172,-99.984,0.000,0.000,100.000
STORJ,135,0.957,0.958,0.027,0.878,1.027,5.926,0.000,0.000,-94.994,-96.746,4.809,-74.014,-99.777,0.000,0.000,100.000
TWT,135,0.957,0.958,0.023,0.876,1.021,1.481,0.000,0.000,-96.578,-97.578,3.332,-82.242,-99.955,0.000,0.000,100.000
COTI,135,0.956,0.958,0.023,0.894,1.020,3.704,0.000,0.000,-95.131,-97.166,5.505,-66.006,-99.889,0.000,0.000,100.000
