Reference Coin,Trading Coin,Number of Trades,Profit Factor,Total Cummulative Return,Max DrawDown,Sharpe Ratio,Mean Exit Hour,STD Exit Hour
CTSI,LINK,1088,0.9791843672006877,-0.8544218542967881,-0.9330014656818393,-0.07892800593289541,11.291891891891892,6.666462415968922
CTSI,LRC,1079,0.9449727100880297,-2.894929185649638,-0.9714442258179892,-0.1936007465556888,10.835125448028673,6.541791015997179
CTSI,LSK,1275,0.9417935369528853,-2.977822215354326,-0.9871925907089387,-0.1972586920850329,11.59909228441755,7.031397060993603
CTSI,LTC,1162,0.9190057395841579,-3.1435445073407755,-0.984547346351617,-0.3180484401846888,10.931552587646078,6.844448676538898
CTSI,LTO,1286,0.9623588119720099,-2.213337090752538,-0.9834742893271509,-0.12835376236611437,11.598802395209582,6.704121563628176
CTSI,MANA,1047,1.011292614195104,0.6036694390139272,-0.8440146693072643,0.037608219007163594,11.685767097966728,6.785411967440032
CTSI,MBL,1236,0.9853313356115898,-0.8751298959510145,-0.9362511881968177,-0.04527341219153744,11.13841368584759,7.3200830287793615
CTSI,MDT,1341,0.8721135618489123,-8.69122093753288,-0.9998704831184075,-0.46782059919655006,11.419400855920115,6.675402197445215
CTSI,MKR,1176,1.0244921692722768,1.1017662133682,-0.7214942527685845,0.08893564356748063,11.154228855721392,6.854522565093691
CTSI,MTL,1224,0.9360020022099806,-3.7330378642885553,-0.9901204114645357,-0.20872189318902468,11.807874015748032,7.339079166523148
CTSI,NEAR,1175,0.9731521958698142,-1.5293358263258336,-0.9603755652629627,-0.10392313767398621,10.726829268292683,6.926805238316248
CTSI,NEO,1052,0.9386606804183221,-2.4991650148550226,-0.9350636435083747,-0.21482725974846517,11.760147601476016,7.09309877665875
CTSI,NKN,1183,0.8780720397297553,-7.716717965900795,-0.9997492835755714,-0.3909234766458131,11.660162601626016,6.816101599584834
CTSI,NMR,1407,0.8434713863507558,-8.704829370351685,-0.9998707848212071,-0.5067834033707691,11.153424657534247,6.775735012782859
CTSI,NULS,1323,0.9472464937058268,-3.251362644319279,-0.9866302728230355,-0.1726083630625016,11.40175953079179,6.680226798993853
CTSI,OGN,1094,0.9611008004890772,-2.325697012885736,-0.9743590139552937,-0.13137006419246353,11.416961130742049,6.839965477988864
CTSI,OG,1359,0.9042611179903406,-6.985457271495489,-0.9996769425774682,-0.3361235604181537,11.723849372384937,6.751093660183108
CTSI,ONE,1069,0.9758479912457243,-1.3661656788594312,-0.9573914616255492,-0.0818214707756952,11.29038112522686,6.799136177748639
CTSI,ONG,1298,0.9005127735080466,-5.340195839371146,-0.9979998863579668,-0.2560943427164663,11.126865671641792,7.34625337105891
CTSI,ONT,1034,0.9491360180335532,-2.1048089832305346,-0.9256187019558375,-0.17289721260027974,11.601869158878504,6.95978255973049
CTSI,OXT,1354,0.7850652540443253,-11.966640534663233,-0.999994886319254,-0.7804358764095746,11.046413502109704,6.905546694294743
CTSI,PAXG,1510,0.9870062271726702,-0.11063305987100147,-0.2981548424594443,-0.054497144282248444,11.355974842767296,6.580470602433557
CTSI,PSG,1306,0.9638462356346489,-2.097289462043218,-0.9764693768509144,-0.12241610162018288,11.501470588235295,6.644784741087771
CTSI,QTUM,1034,0.9895707957458076,-0.472670047403143,-0.8074828773148137,-0.03179247937860179,11.829268292682928,7.056893315092024
CTSI,RIF,1333,0.8860564138259135,-4.921506592429472,-0.9942122571340641,-0.36589542534513914,11.42467718794835,6.578908255904483
CTSI,RLC,1208,0.9008366302591118,-5.774875870300181,-0.998984963334309,-0.3714372421853957,11.0,6.851307807969885
CTSI,ROSE,1229,0.9069768083931492,-5.814762060261444,-0.9982287749236209,-0.3407425966883057,11.446372239747634,6.793114795107801
